Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Yandy Díaz","TBR",135,571,492,137,97,23,2,15,70,64,71,2,74,4,3,1,16,3,1,0.278096,0.123795,0.129483,0.956072,0.371384,0.42087,0.349149,0.792254,0.142774,3.27043,0.30043,,-0.557316,83.1371,17.8679,134.495,-0.557316,0.99,21.59963822364807,-6.1613686084747314,3.52981,257.1499938964844,,,,"16578"
"Jonah Heim","TEX",108,413,374,86,51,18,1,16,45,50,33,1,82,2,3,0,7,2,1,0.229164,0.0810038,0.197308,0.410545,0.294353,0.40912,0.306233,0.703474,0.179956,2.84067,0.249002,,-0.264834,46.0798,-1.15282,99.09,-0.264834,12.94,-0.6878293752670288,20.389745712280273,3.44998,249.5800018310547,,,,"16930"
"Tyler O'Neill","STL",132,538,478,120,67,25,3,26,78,74,48,1,152,8,4,0,7,15,4,0.251539,0.0884093,0.283331,0.312036,0.326911,0.475435,0.346253,0.802346,0.223896,5.87548,0.311491,,0.992669,77.0906,15.5971,127.525,0.992669,1.28,18.190796434879303,-4.119988203048706,3.37716,100.95999908447266,,,,"15711"
"Byron Buxton","MIN",120,507,454,112,56,25,3,28,74,73,43,1,144,7,3,1,5,10,2,0.246619,0.0846633,0.284008,0.298102,0.32008,0.500406,0.35197,0.820486,0.253787,5.50234,0.294577,,0.534688,75.0474,17.0221,132.832,0.534688,0.42,19.282707810401917,-3.291604846715927,3.376,104.1500015258789,,,,"14161"
"Ozzie Albies","ATL",141,597,545,142,84,32,3,23,81,75,42,2,110,5,5,0,7,18,5,0.259974,0.0699639,0.184647,0.378906,0.315373,0.454737,0.33186,0.770109,0.194763,5.64373,0.285263,,1.02137,78.787,10.4928,111.787,1.02137,0.26,9.200560450553894,2.229700207710266,3.31002,55.040000915527344,,,,"16556"
"Taylor Ward","LAA",140,590,517,138,83,28,2,24,81,74,62,2,133,7,4,1,10,6,2,0.26617,0.104663,0.224903,0.465368,0.349907,0.469094,0.355211,0.819001,0.202923,4.24943,0.311868,,-0.153866,88.8278,21.323,131.883,-0.153866,-1.96,21.02670693397522,-8.337942600250244,3.3065,119.2300033569336,,,,"17548"
"George Springer","TOR",132,578,509,131,78,27,2,24,79,74,57,1,112,7,3,1,10,9,3,0.258018,0.0980015,0.193091,0.507542,0.33908,0.460802,0.347808,0.799883,0.202785,4.50777,0.284782,,0.0842905,83.5558,17.4745,129.138,0.0842905,-1.31,19.032912261784077,-6.4521613121032715,3.25353,81.55999755859375,,,,"12856"
"Eugenio Suárez","SEA",144,605,525,114,63,21,0,30,71,82,67,1,184,8,4,1,8,1,0,0.217821,0.111194,0.303269,0.366651,0.313831,0.428888,0.324575,0.742719,0.211067,1.9674,0.268159,,-0.548364,76.3258,7.12916,116.888,-0.548364,-0.87,10.951951384544373,0.7562170028686523,3.25302,158.3800048828125,,,,"12552"
"Matt Olson","ATL",154,657,568,141,79,26,2,34,90,95,76,6,144,8,4,0,11,2,1,0.248169,0.116273,0.219467,0.529798,0.343327,0.481668,0.354466,0.824994,0.233498,3.11056,0.2709,,-0.516381,98.5329,23.3572,127.245,-0.516381,0.21,20.294097244739532,-11.656821295619011,3.22936,45.72999954223633,,,,"14344"
"Corbin Carroll","ARI",135,560,498,126,79,27,7,12,72,57,51,3,145,7,3,1,9,17,3,0.252012,0.0915203,0.258409,0.354168,0.328026,0.410673,0.322476,0.738699,0.158661,7.00997,0.328656,,1.58889,69.6492,5.65969,106.025,1.58889,8.58,5.5060789585113525,6.387638807296753,3.22569,69.1500015258789,,,,"25878"
"Oneil Cruz","PIT",134,573,520,128,74,27,4,23,78,72,46,1,168,3,3,0,9,18,4,0.24636,0.0807739,0.29254,0.276112,0.31072,0.446364,0.327584,0.757084,0.200004,6.62106,0.317239,,1.74054,73.6578,8.122,110.794,1.74054,-2.68,8.928481340408325,2.468391180038452,3.2213,73.45999908447266,,,,"21711"
"Tommy Edman","STL",147,624,571,149,103,30,4,11,79,60,42,2,103,6,4,1,11,25,6,0.260342,0.0669134,0.165425,0.404494,0.315753,0.387672,0.308155,0.703425,0.127331,6.27512,0.298081,,1.88874,70.5442,-0.788601,101.474,1.88874,0.41,2.957288146018982,6.711831718683243,3.21898,75.75,,,,"19470"
"Luis Arraez","MIA",136,573,515,152,114,28,3,6,66,60,50,2,47,3,4,0,14,5,2,0.295796,0.0875606,0.082305,1.06386,0.359157,0.401156,0.334087,0.760314,0.10536,3.86591,0.313192,,-0.411946,76.5667,11.0755,118.07,-0.411946,1.29,11.612740725278854,-0.2665891647338867,3.21459,210.75,,,,"18568"
"Luis Robert Jr.","CHW",127,536,492,137,87,28,2,20,72,68,32,2,112,7,4,1,9,12,4,0.279465,0.0602779,0.208478,0.289134,0.330985,0.467906,0.344392,0.798891,0.188441,4.96874,0.322248,,0.425491,76.0282,14.7503,125.512,0.425491,-4.23,15.81045150756836,-2.640592575073242,3.17491,49.060001373291016,,,,"20043"
"Brandon Lowe","TBR",126,529,463,110,62,24,2,22,65,70,55,2,133,7,3,0,7,4,1,0.237572,0.103398,0.251945,0.410399,0.325429,0.441254,0.333522,0.766683,0.203682,4.01014,0.283154,,-0.147571,70.4536,9.98819,123.463,-0.147571,-0.22,13.813997745513916,-0.8992593586444855,3.12436,171.64999389648438,,,,"18882"
"Gunnar Henderson","BAL",141,581,516,127,81,27,4,15,71,61,56,1,159,5,4,0,11,9,2,0.245548,0.0970046,0.273666,0.354464,0.323995,0.401373,0.318589,0.725368,0.155825,5.27609,0.322428,,0.414925,70.5507,4.08358,108.107,0.414925,0.12,5.717862904071808,5.2372027561068535,3.09412,92.30999755859375,,,,"26289"
"Andrés Giménez","CLE",146,587,529,136,92,26,4,15,76,63,36,3,127,16,3,3,11,21,4,0.257648,0.0605859,0.216999,0.2792,0.322052,0.40482,0.317689,0.726872,0.147172,6.63073,0.311722,,1.9353,70.8409,3.70513,107.069,1.9353,1.53,6.605626463890076,4.132753610610962,3.09093,82.79000091552734,,,,"19950"
"Ketel Marte","ARI",137,579,515,138,87,32,2,17,70,73,53,3,97,5,4,0,12,4,1,0.266851,0.0923205,0.168111,0.549164,0.339295,0.435111,0.336511,0.774405,0.168259,3.73596,0.297716,,-0.370659,78.477,12.305,115.621,-0.370659,-0.22,10.132438600063324,-0.43869413435459137,3.06213,211.30999755859375,,,,"13613"
"Gleyber Torres","NYY",138,580,522,133,84,25,1,23,73,72,47,2,127,4,5,1,9,11,4,0.255555,0.0811622,0.219336,0.370036,0.319267,0.440446,0.328838,0.759712,0.184891,4.25265,0.292837,,0.0503007,75.1117,8.79644,115.883,0.0503007,-0.21,10.415669567883015,0.1153988391160965,3.04516,115.6500015258789,,,,"16997"
"Anthony Rendon","LAA",118,498,431,109,68,23,1,17,62,58,56,2,85,6,4,1,8,2,1,0.251881,0.11318,0.171172,0.66121,0.343181,0.42763,0.336946,0.770811,0.175749,2.85528,0.275306,,-0.450258,67.7383,10.7665,118.989,-0.450258,1.63,10.196060925722122,2.5518593192100525,3.00467,242.35000610351562,,,,"12861"
"Daulton Varsho","TOR",138,556,498,117,65,25,2,25,75,71,47,1,137,7,3,1,8,13,3,0.235585,0.0851224,0.246686,0.345064,0.308946,0.443777,0.326225,0.752723,0.208191,5.46525,0.272941,,0.8944,70.8919,7.28267,113.901,0.8944,4.98,9.59605598449707,1.0960793495178223,2.98294,38.060001373291016,,,,"19918"
"Cal Raleigh","SEA",119,453,408,86,45,19,1,22,50,60,38,1,129,4,3,0,5,2,1,0.211168,0.0829272,0.285339,0.290627,0.2819,0.419864,0.304138,0.701764,0.208696,2.78818,0.248248,,-0.24751,49.7919,-2.01857,102.46,-0.24751,8.64,1.0067905485630035,12.756524562835693,2.96034,161.8800048828125,,,,"21534"
"Amed Rosario","CLE",145,618,581,161,118,29,4,9,73,64,29,0,108,4,4,1,14,14,4,0.27661,0.047029,0.174461,0.269567,0.313098,0.388351,0.306767,0.701449,0.111741,5.48978,0.323937,,0.695293,69.2013,-1.46253,99.3578,0.695293,0.75,0.24867895245552063,7.443750381469727,2.8743,116.6500015258789,,,,"15518"
"Jeff McNeil","NYM",142,584,527,144,105,29,3,8,65,62,41,2,72,12,4,0,13,3,1,0.274057,0.0704606,0.123379,0.571089,0.337711,0.38584,0.318912,0.723552,0.111783,3.60924,0.302067,,-0.456336,71.0618,4.25435,111.29,-0.456336,-0.33,7.207327127456665,0.3506034314632416,2.85751,193.1699981689453,,,,"15362"
"Yasmani Grandal","CHW",95,372,312,67,45,11,0,12,41,39,51,1,82,3,3,0,7,0,0,0.215256,0.138487,0.221153,0.626206,0.328757,0.36283,0.310155,0.691587,0.147575,1.65152,0.251344,,-0.421547,42.6382,0.120988,101.342,-0.421547,8.49,0.13982760906219482,15.015977382659912,2.83475,278.3800048828125,,,,"11368"
"Randy Arozarena","TBR",145,618,552,139,87,29,3,20,83,69,48,2,150,14,4,1,11,27,8,0.251638,0.0772804,0.243501,0.317372,0.3246,0.425428,0.327475,0.750028,0.17379,6.1272,0.307712,,1.68528,79.3348,8.70064,119.194,1.68528,-0.42,15.027527928352356,-8.09255114197731,2.7939,37.5,,,,"19290"
