Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Kole Calhoun",,69,267,239,50,30,10,1,9,27,30,22,1,77,3,2,0,3,2,1,0.207888,0.0816795,0.288032,0.283578,0.280196,0.363039,0.283248,0.643235,0.155151,3.4568,0.264066,-0.230369,-0.207312,24.8898,-5.61595,81.8422,-0.437681,-0.307664,-5.977357655763626,-3.505770295858383,-0.0783895,748.5999755859375,4.17228,1.24843,0.719126,"11200"
"Jake Lamb","LAA",12,38,34,7,5,1,0,1,4,4,4,0,12,0,0,0,1,0,0,0.197283,0.117011,0.308517,0.37927,0.29237,0.307983,0.273319,0.600353,0.1107,2.03334,0.272332,-0.00196869,-0.0472685,3.28206,-1.11207,74.069,-0.0492371,0.101972,-1.1705776490271091,-0.824675627052784,-0.0809845,999,3.26194,0.936022,1.7325,"13329"
"Mike Ford","SEA",14,41,37,7,4,2,0,1,3,4,4,0,10,0,0,0,1,0,0,0.187881,0.099989,0.241652,0.413773,0.270584,0.301454,0.258895,0.572038,0.113573,1.18648,0.232206,0.000469993,-0.0376844,3.04097,-1.66127,70.5194,-0.0372144,0,-1.4014394618570805,-0.7554883360862732,-0.0889489,999,1.056,-1.0405,1.73646,"15585"
"Stone Garrett","WSN",54,205,191,43,25,9,1,8,22,25,10,1,62,2,2,0,2,5,1,0.227182,0.0468927,0.301879,0.155336,0.269253,0.416168,0.29463,0.685421,0.188986,5.32849,0.285868,-0.254054,0.314573,20.9286,-2.4559,87.2795,0.0605182,-1.48497,-2.961922977119684,-4.836977958679199,-0.0964136,550.6300048828125,2.66168,0.901597,1.16226,"19273"
"Eli White","ATL",17,60,55,11,9,1,0,1,7,5,5,0,19,0,0,0,0,4,0,0.206369,0.0766134,0.311418,0.246015,0.272626,0.296223,0.256841,0.568849,0.0898536,6.36865,0.287748,-0.389056,0.516916,4.35706,-2.53223,60.4912,0.12786,0.38323,-2.6377560198307037,-0.38466688990592957,-0.104506,749.5,4.86039,2.70688,1.75882,"19346"
"Hoy Park",,9,28,24,5,3,1,0,1,3,3,3,0,8,0,0,0,0,1,0,0.196067,0.116891,0.27723,0.421638,0.290259,0.314503,0.273781,0.604762,0.118436,4.20692,0.253361,-0.0652105,0.0705433,2.39387,-0.797415,72.0738,0.00533278,-1.19601,-0.9001933829858899,-1.0602829158306122,-0.107251,999,1.56605,0.00177311,1.8166,"18027"
"Terrance Gore","NYM",21,27,25,5,4,1,0,0,3,1,2,0,9,0,0,0,0,5,0,0.196334,0.0677947,0.345939,0.195973,0.253684,0.236969,0.224617,0.490653,0.0406356,7.4552,0.315892,-0.665001,0.848881,1.27413,-1.84446,41.1114,0.183881,0,-1.6527808010578156,-0.3006300628185272,-0.111325,999,0.401417,1.27003,1.98018,"13658"
"Matt Beaty",,13,40,37,8,6,2,0,1,4,4,3,0,8,1,0,0,1,0,0,0.231642,0.0635605,0.205453,0.309368,0.302328,0.345421,0.290201,0.647748,0.113779,2.85946,0.278902,-0.0129905,-0.02303,3.97908,-0.625207,86.6725,-0.0360204,-0.656769,-0.6497149728238583,-1.791835904121399,-0.117903,999,3.85472,1.63511,1.78708,"17710"
"Michael Toglia","COL",58,233,210,48,30,10,1,8,26,28,20,0,72,1,1,0,3,3,1,0.22873,0.0860348,0.309455,0.27802,0.29785,0.395824,0.304343,0.693675,0.167094,4.18002,0.306387,0.0040535,-0.104022,25.6858,-1.00169,80.4985,-0.0999685,0.521297,-5.38806064426899,-3.6520485877990723,-0.124694,618.52001953125,3.69125,1.5236,0.947102,"25845"
"Cristian Pache","OAK",71,254,234,49,33,11,1,5,22,21,15,0,70,1,1,3,3,3,2,0.209551,0.0586636,0.274241,0.213913,0.260274,0.323533,0.258409,0.583807,0.113982,4.27462,0.276999,-0.0442059,-0.276326,18.7102,-10.373,70.5927,-0.320532,-1.67164,-8.737240105867386,-0.5721346139907837,-0.12689,738.5599975585938,2.1371,-0.262149,0.98269,"19948"
