Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Francisco Mejía","TBR",71,282,261,63,39,15,1,7,29,31,13,0,57,4,2,2,,1,0,0.240125,0.0467999,0.203234,0.230276,0.28478,0.388814,0.293841,0.673593,0.148689,3.18404,0.27864,-0.285,-0.204314,28.701,-3.56552,95.4488,-0.489314,0.024,-1.9344897270202637,5.9250000230968,0.933791,448.2699890136719,,,,"16403"
"J.D. Davis","SFG",81,333,288,69,44,14,1,10,37,37,35,1,102,6,3,2,,2,1,0.239508,0.1058,0.305882,0.345885,0.33152,0.397243,0.321686,0.728762,0.157735,3.24933,0.330335,-0.483,-0.280157,41.2262,3.15805,108.965,-0.763157,2.054,2.7043235898017883,-5.019999980926514,0.932941,415.6000061035156,,,,"16219"
"Nicky Lopez","KCR",89,352,318,80,62,14,3,2,35,28,26,0,50,3,3,3,,11,4,0.252985,0.0730999,0.140633,0.519792,0.312843,0.333609,0.288377,0.646452,0.080624,5.53348,0.291192,0.792,0.494182,34.2731,-5.9755,83.2454,1.28618,0.978,-5.350169897079468,3.0030000805854797,0.930658,526.5,,,,"19339"
"J.D. Martinez","LAD",131,560,503,126,77,27,1,21,66,74,47,2,142,4,4,1,,1,0,0.250332,0.0832001,0.253442,0.32828,0.316871,0.43243,0.325323,0.749301,0.182099,2.39954,0.304657,-1.931,-0.501967,70.939,6.92774,111.437,-2.43297,-0.356,5.005435466766357,-15.017000257968903,0.926388,205,,,,"6184"
"Kyle Farmer","MIN",63,263,241,60,41,12,1,6,27,27,14,0,46,6,2,1,,2,1,0.249278,0.0517002,0.175107,0.295249,0.303689,0.375171,0.299171,0.67886,0.125893,3.736,0.285151,-0.198,-0.204928,27.9016,-2.21258,95.5565,-0.402927,1.078,-1.7197949588298798,2.1309999227523804,0.923887,443.7099914550781,,,,"14813"
"Alex Kirilloff","MIN",97,391,354,89,58,18,1,13,42,46,27,0,85,5,3,2,,2,1,0.252271,0.0688999,0.21651,0.31823,0.311951,0.415453,0.317484,0.727405,0.163183,2.93008,0.295444,-0.368,-0.321228,47.1118,2.40347,108.485,-0.689228,1.336,3.0440356731414795,-6.764000415802002,0.916947,328.0199890136719,,,,"20325"
"C.J. Cron","COL",138,592,528,134,77,27,2,27,74,86,49,5,145,9,4,1,,1,0,0.253299,0.0832999,0.245752,0.338959,0.325043,0.466931,0.34031,0.791974,0.213632,2.92735,0.296488,-1.018,-0.532303,82.032,14.3684,105.092,-1.5503,-0.404,1.9504063129425049,-13.228999823331833,0.906186,129.3300018310547,,,,"12546"
"Tomás Nido","NYM",54,208,193,44,30,9,0,4,20,20,10,0,52,2,2,2,,1,0,0.226113,0.0471998,0.250063,0.188751,0.268947,0.338373,0.266922,0.60732,0.112261,3.37608,0.286703,-0.864,-0.101777,16.719,-7.08113,75.7406,-0.965778,-0.471,-6.832345604896545,4.04899999499321,0.903482,740.5599975585938,,,,"13755"
"Austin Hedges","PIT",69,263,238,48,31,8,1,7,25,26,18,0,64,3,2,2,,2,1,0.20015,0.0671999,0.243512,0.275962,0.262433,0.332494,0.263386,0.594927,0.132343,3.71318,0.239028,-0.442,-0.054584,20.3835,-9.68473,66.8975,-0.496584,0.448,-10.609869062900543,6.223000109195709,0.901265,713.8800048828125,,,,"12976"
"TJ Friedl","CIN",102,465,410,100,66,17,5,13,58,44,40,0,88,7,3,4,,12,4,0.243281,0.0865001,0.188741,0.458302,0.319991,0.400975,0.31694,0.720966,0.157693,6.06174,0.278154,0.079,0.308488,55.8735,2.65986,96.9949,0.387488,-1.054,-1.2373144328594208,-5.9410001039505005,0.890285,361.5199890136719,,,,"19522"
"Jesús Sánchez","MIA",66,276,249,60,37,11,2,11,31,35,22,1,70,3,2,1,,2,1,0.241637,0.0783001,0.251807,0.310953,0.307848,0.426708,0.319179,0.734555,0.185071,4.0816,0.290477,-0.511,-0.2146,33.6682,2.07084,107.877,-0.7256,0.355,1.8031726479530334,-2.641999989748001,0.888096,447.8800048828125,,,,"19913"
"David Fletcher","LAA",81,349,322,86,65,17,1,3,38,28,19,0,34,2,2,3,,6,2,0.268096,0.0552999,0.0978612,0.565085,0.312212,0.355057,0.294746,0.667269,0.0869608,4.60706,0.290629,0.091,0.0945884,35.7369,-4.15743,89.1963,0.185588,-1.159,-4.056007817387581,1.3790000677108765,0.885665,559.5399780273438,,,,"17992"
"Tucker Barnhart","CHC",77,293,262,58,42,12,0,4,27,25,24,0,71,3,2,2,,1,1,0.222505,0.0808,0.241115,0.33511,0.29269,0.321367,0.274935,0.614057,0.098862,2.97593,0.284967,-0.566,-0.220831,25.4305,-8.11246,75.6546,-0.786831,1.778,-9.084216356277466,8.180999875068665,0.884356,628.8800048828125,,,,"10200"
"Wil Myers","CIN",133,552,494,121,73,27,1,19,61,66,49,2,156,3,4,2,,7,3,0.244197,0.0885,0.282772,0.312973,0.313941,0.420953,0.319782,0.734894,0.176756,3.61136,0.314192,0.657,-0.207727,67.5776,4.40475,98.9378,0.449273,-1.571,-0.23254016041755676,-9.940999865531921,0.88348,235.75,,,,"10047"
"Evan Longoria","ARI",97,411,368,87,54,18,1,14,45,49,35,2,107,3,3,1,,1,1,0.236696,0.085,0.260073,0.326831,0.306179,0.406254,0.309846,0.712434,0.169558,2.74752,0.290897,-0.735,-0.339133,47.0129,0.0325345,97.3881,-1.07413,-0.59,-2.3209186792373657,-3.181999981403351,0.873626,504.8299865722656,,,,"9368"
"Spencer Steer","CIN",105,421,374,86,52,19,1,14,44,48,36,1,97,6,3,2,,3,1,0.231093,0.0854999,0.229357,0.372781,0.306314,0.402843,0.310573,0.709157,0.171749,3.41406,0.271059,0.008,-0.311205,48.4405,0.276669,92.6409,-0.303205,-2.268,-3.9045974910259247,-2.024999886751175,0.865389,402.1300048828125,,,,"26323"
