splits,gamesPlayed,runs,hits,atBats,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,leftOnBase,catchersInterference,pickoffs,atBatsPerHomeRun,full_name,position,position_type,team,game_location,opp,order,DKPts,note,team_hits,team_singles,team_rbi,team_runs,team_doubles,team_triples,team_homeRuns,team_strikeOuts,team_baseOnBalls,team_hitByPitch,team_stolenBases,season,game_date,team_DKPts,singles,bats,doubles,triples,homeRuns,rbi,baseOnBalls,hitByPitch,strikeOuts,intentionalWalks,flyOuts,groundOuts,sacFlies,sacBunts,launchSpeed,launchAngle,distance,DKPts_splits,wOBA,AVG,OBP,SLG,OPS,ISO,SB_perAtBat,DKPts_share,hits_share,runs_share,singles_share,doubles_share,triples_share,homeRuns_share,rbi_share,stolenBases_share,baseOnBalls_share,exWOBA,RotoName,opp_pitcher_id,Roster Position,Salary,opp_pitcher_hand
vs_RHP,1,0,1,3,1,0,.000,0,0,3,2,0,0,0,-.--,amed rosario,,Infielder,NYM,away,PHI,8,5,0,3,1,1,1,1,0,1,11,4,0,0,2017,2017-08-12,30,0.0,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,88.8,3.333333333333333,143.33333333333334,5.0,0.4106666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,1.0,,0.0,0.0,,0.0,0.2300214683894996,amedrosar,605400,SS,2700.0,R
vs_LHP,1,0,1,1,0,0,.---,0,0,1,1,0,0,0,-.--,amed rosario,SS,Infielder,NYM,away,PHI,9,3,b-,12,8,6,6,2,0,2,10,0,0,1,2017,2017-08-13,83,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,13.0,210.0,3.0,0.877,1.0,1.0,1.0,2.0,0.0,0.0,0.036144578313253,0.0833333333333333,0.0,0.125,0.0,,0.0,0.0,0.0,,0.8869140609812367,amedrosar,621107,SS,3200.0,R
vs_RHP,1,0,1,4,0,1,1.000,0,0,4,1,1,0,0,-.--,amed rosario,SS,Infielder,NYM,away,NYY,7,8,,6,4,2,2,0,0,2,13,3,0,1,2017,2017-08-14,51,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,76.2,16.0,224.0,8.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.25,0.1568627450980392,0.1666666666666666,0.0,0.25,,,0.0,0.0,1.0,0.0,0.2030139416331531,amedrosar,570666,SS,3300.0,R
vs_LHP,1,1,1,4,0,0,.---,0,0,4,4,0,0,0,4.00,amed rosario,SS,Infielder,NYM,away,NYY,7,16,0,7,5,4,4,0,0,2,9,3,0,0,2017,2017-08-15,57,0.0,R,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,30.0,368.0,16.0,0.495,0.25,0.25,1.0,1.25,0.75,0.0,0.2807017543859649,0.1428571428571428,0.25,0.0,,,0.5,0.5,,0.0,0.3967969776785956,amedrosar,543243,SS,3000.0,R
vs_LHP,1,0,0,3,0,0,.---,0,0,4,0,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,NYY,6,2,0,6,3,3,3,2,0,1,8,3,0,0,2017,2017-08-16,42,0.0,R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.2,6.0,132.0,2.0,0.17325,0.0,0.25,0.0,0.25,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,,0.0,0.0,,0.3333333333333333,0.6118809557881136,amedrosar,448802,SS,3100.0,L
vs_LHP,1,0,0,4,0,0,.---,0,0,4,0,0,0,0,-.--,amed rosario,,Infielder,NYM,home,NYY,6,0,0,7,4,5,5,2,0,1,12,5,0,0,2017,2017-08-17,62,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.7,-13.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,amedrosar,622663,SS,3000.0,R
vs_LHP,1,0,2,4,0,1,1.000,0,0,4,2,0,0,0,-.--,amed rosario,SS,Infielder,NYM,home,MIA,6,11,0,7,7,1,1,0,0,0,5,1,0,1,2017,2017-08-18,32,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.35,-2.0,54.0,8.0,0.21925,0.5,0.5,0.25,0.75,-0.25,0.25,0.34375,0.2857142857142857,0.0,0.1428571428571428,,,,0.0,1.0,0.0,0.1572218361871149,amedrosar,592593,SS,3300.0,L
vs_RHP,1,0,1,4,0,0,.---,0,0,4,1,2,0,0,-.--,amed rosario,SS,Infielder,NYM,home,MIA,7,3,0,8,5,7,8,0,0,3,4,3,0,0,2017,2017-08-19,81,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,90.6,-2.5,43.5,3.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.0,0.037037037037037,0.125,0.0,0.2,,,0.0,0.0,,0.0,0.1566658567260203,amedrosar,474699,SS,3300.0,R
vs_LHP,1,0,1,4,0,0,.---,0,0,4,1,4,0,0,-.--,amed rosario,SS,Infielder,NYM,home,MIA,6,3,0,7,4,4,4,2,0,1,13,3,1,0,2017,2017-08-20,56,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2,-9.5,29.0,3.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.0,0.0535714285714285,0.1428571428571428,0.0,0.25,0.0,,0.0,0.0,,0.0,0.1439217979027399,amedrosar,543045,SS,3100.0,L
vs_RHP,1,0,1,4,0,1,1.000,0,0,4,1,2,0,0,-.--,amed rosario,SS,Infielder,NYM,home,ARI,7,8,0,11,7,2,2,3,0,1,7,3,0,1,2017,2017-08-21,65,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,79.85,-0.5,42.5,8.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.25,0.123076923076923,0.0909090909090909,0.0,0.1428571428571428,0.0,,0.0,0.0,1.0,0.0,0.1100744773898089,amedrosar,592836,SS,3000.0,R
vs_LHP,1,1,2,4,0,0,.---,0,0,4,7,0,0,0,4.00,amed rosario,SS,Infielder,NYM,home,ARI,7,24,0,7,4,4,4,1,1,1,7,3,0,0,2017,2017-08-22,55,0.0,R,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,95.875,16.0,177.75,24.0,0.883,0.5,0.5,1.75,2.25,1.25,0.0,0.4363636363636363,0.2857142857142857,0.25,0.0,0.0,1.0,1.0,0.5,,0.0,0.3309114585810774,amedrosar,571578,SS,2700.0,L
vs_RHP,1,0,2,4,0,0,.---,0,0,4,2,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,ARI,7,8,0,8,6,4,4,1,0,1,9,6,0,0,2017,2017-08-23,61,2.0,R,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,85.94999999999999,20.5,219.5,8.0,0.4385,0.5,0.5,0.5,1.0,0.0,0.0,0.1311475409836065,0.25,0.0,0.3333333333333333,0.0,,0.0,0.25,,0.0,0.2972840687134538,amedrosar,643327,SS,2800.0,R
vs_LHP,1,0,0,4,0,0,.---,0,0,4,0,2,0,0,-.--,amed rosario,SS,Infielder,NYM,home,ARI,5,0,0,5,3,2,2,1,0,1,12,7,1,0,2017,2017-08-24,48,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,13.5,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.2580799585012785,amedrosar,592662,SS,3000.0,L
vs_RHP,1,0,0,3,0,0,.---,0,0,4,0,5,0,0,-.--,amed rosario,SS,Infielder,NYM,away,WSH,7,2,0,9,7,4,4,2,0,0,9,5,0,3,2017,2017-08-25,69,0.0,R,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,90.6,34.5,311.0,2.0,0.17325,0.0,0.25,0.0,0.25,0.0,0.0,0.0289855072463768,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2,0.3292714251080002,amedrosar,595918,SS,3500.0,R
vs_LHP,1,0,0,4,0,0,.---,0,0,4,0,2,0,0,-.--,amed rosario,,Infielder,NYM,away,WSH,5,0,0,11,6,4,4,3,1,1,3,1,1,0,2017,2017-08-26,71,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.89999999999999,18.33333333333333,141.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1612752565057802,amedrosar,461829,SS,2900.0,L
vs_RHP,1,1,2,4,0,0,.---,0,0,4,5,0,0,0,4.00,amed rosario,SS,Infielder,NYM,away,WSH,7,17,0,9,6,6,6,0,0,3,6,3,1,1,2017,2017-08-27,85,1.0,R,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.4,4.5,182.5,17.0,0.71425,0.5,0.5,1.25,1.75,0.75,0.0,0.2,0.2222222222222222,0.1666666666666666,0.1666666666666666,,,0.3333333333333333,0.1666666666666666,0.0,0.0,0.3674939087019765,amedrosar,607200,SS,3400.0,R
vs_RHP,1,0,1,3,0,0,.---,0,0,3,1,0,0,0,-.--,amed rosario,SS,Infielder,NYM,away,CIN,-1,3,0,10,8,4,4,2,0,0,8,5,0,0,2017,2017-08-29,57,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,99.9,-13.0,11.5,3.0,0.2923333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0526315789473684,0.1,0.0,0.125,0.0,,,0.0,,0.0,0.1633040995422144,amedrosar,607219,SS,3500.0,R
vs_RHP,1,0,0,4,0,0,.---,0,0,4,0,3,0,0,-.--,amed rosario,SS,Infielder,NYM,away,CIN,2,0,0,7,5,2,2,2,0,0,9,4,0,0,2017,2017-08-31,41,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,78.3,12.0,107.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0685455752808272,amedrosar,596112,SS,3300.0,R
vs_RHP,1,1,2,4,0,0,.---,0,0,4,3,1,0,0,-.--,amed rosario,SS,Infielder,NYM,away,HOU,6,10,,11,5,8,8,3,0,3,15,3,0,0,2017,2017-09-02,98,1.0,R,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,85.03333333333335,23.0,216.66666666666663,10.0,0.52725,0.5,0.5,0.75,1.25,0.25,0.0,0.1020408163265306,0.1818181818181818,0.125,0.2,0.3333333333333333,,0.0,0.0,,0.0,0.4414723167617109,amedrosar,450203,SS,3200.0,R
vs_RHP,1,0,1,3,0,0,.---,1,0,3,1,3,0,0,-.--,amed rosario,SS,Infielder,NYM,away,HOU,4,3,a-,6,4,1,1,1,1,0,7,4,1,0,2017,2017-09-02,39,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.1,10.0,63.5,3.0,0.2923333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0769230769230769,0.1666666666666666,0.0,0.25,0.0,0.0,,0.0,,0.0,0.0942413586556078,amedrosar,502748,SS,3200.0,R
vs_RHP,1,0,0,3,0,0,.---,0,0,4,0,2,0,0,-.--,amed rosario,SS,Infielder,NYM,away,HOU,-1,2,,10,8,6,6,2,0,0,6,7,2,3,2017,2017-09-03,91,0.0,R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,63.36666666666667,0.3333333333333333,145.33333333333334,2.0,0.18075,0.0,0.25,0.0,0.25,0.0,0.0,0.0219780219780219,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.337352423021485,amedrosar,571666,SS,2800.0,R
vs_RHP,1,1,1,3,0,0,.---,0,0,4,1,2,0,0,-.--,amed rosario,SS,Infielder,NYM,home,CIN,6,7,0,13,10,5,5,2,0,1,8,1,2,1,2017,2017-09-10,78,1.0,R,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.6,23.0,246.0,7.0,0.3924999999999999,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.0,0.0,0.0897435897435897,0.0769230769230769,0.2,0.1,0.0,,0.0,0.0,0.0,1.0,0.3737595706942166,amedrosar,607219,SS,3000.0,R
vs_LHP,1,1,2,4,0,0,.---,0,0,4,2,1,0,0,-.--,amed rosario,SS,Infielder,NYM,away,CHC,7,8,0,7,5,3,3,2,0,0,9,3,3,0,2017,2017-09-12,49,2.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92.66666666666669,9.333333333333334,180.0,8.0,0.4385,0.5,0.5,0.5,1.0,0.0,0.0,0.1632653061224489,0.2857142857142857,0.3333333333333333,0.4,0.0,,,0.0,,0.0,0.3374942070400504,amedrosar,500779,SS,3000.0,L
vs_LHP,1,2,3,4,0,1,1.000,0,0,4,3,2,0,0,-.--,amed rosario,SS,Infielder,NYM,away,CHC,6,18,0,10,8,4,5,0,0,2,10,6,0,1,2017,2017-09-13,77,2.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.8,-26.0,7.0,15.0,0.4385,0.75,0.75,0.5,1.25,-0.25,0.25,0.2337662337662337,0.3,0.4,0.25,,,0.0,0.0,1.0,0.0,0.0209376604402331,amedrosar,452657,SS,3000.0,L
vs_LHP,1,1,1,3,0,1,1.000,0,0,3,1,2,0,0,-.--,amed rosario,SS,Infielder,NYM,away,CHC,-1,10,0,11,7,6,6,2,0,2,12,2,1,2,2017,2017-09-14,91,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78.8,-6.0,17.0,7.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.1098901098901098,0.0909090909090909,0.1666666666666666,0.0,0.0,,0.0,0.0,0.5,0.0,0.1400551617513055,amedrosar,627500,SS,2800.0,
vs_RHP,1,0,0,4,0,0,.---,1,0,4,0,4,0,0,-.--,amed rosario,SS,Infielder,NYM,away,ATL,6,0,0,11,5,7,7,6,0,0,5,3,0,0,2017,2017-09-16,79,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,72.16666666666667,24.666666666666668,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.1663118446938768,amedrosar,285079,SS,3300.0,R
vs_RHP,1,1,1,4,0,1,1.000,0,0,4,1,3,0,0,-.--,amed rosario,SS,Infielder,NYM,away,ATL,6,12,0,7,3,5,5,1,2,1,12,6,0,2,2017,2017-09-17,80,1.0,R,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,63.3,-30.0,11.0,12.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.25,0.15,0.1428571428571428,0.2,0.3333333333333333,0.0,0.0,0.0,0.2,0.5,0.0,0.0961013877846366,amedrosar,527054,SS,3300.0,R
vs_RHP,1,0,1,4,1,0,.000,0,0,4,1,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,WSH,7,3,0,12,8,7,7,2,0,2,7,2,0,2,2017,2017-09-22,96,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,78.3,-5.75,60.5,3.0,0.21925,0.25,0.25,0.25,0.5,0.0,0.0,0.03125,0.0833333333333333,0.0,0.125,0.0,,0.0,0.0,0.0,0.0,0.2883489629784349,amedrosar,429719,SS,3500.0,R
vs_LHP,1,0,1,4,0,0,.---,0,0,4,1,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,WSH,7,3,0,8,6,3,3,2,0,0,13,2,0,0,2017,2017-09-23,44,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81.6,-23.5,8.0,0.0,0.0,0.25,0.25,0.0,0.25,-0.25,0.0,0.0681818181818181,0.125,0.0,0.0,0.0,,,0.0,,0.0,0.0,amedrosar,544931,SS,3000.0,R
vs_RHP,1,0,2,4,0,0,.---,0,0,4,3,1,0,0,-.--,amed rosario,SS,Infielder,NYM,home,WSH,7,8,0,8,6,2,2,1,0,1,13,3,0,2,2017,2017-09-24,57,1.0,R,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.63333333333333,-8.0,166.66666666666666,8.0,0.52725,0.5,0.5,0.75,1.25,0.25,0.0,0.1403508771929824,0.25,0.0,0.1666666666666666,1.0,,0.0,0.0,0.0,0.0,0.3849831046111595,amedrosar,453286,SS,2800.0,R
