splits,gamesPlayed,runs,hits,atBats,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,leftOnBase,catchersInterference,pickoffs,atBatsPerHomeRun,full_name,position,position_type,team,game_location,opp,order,DKPts,note,team_hits,team_singles,team_rbi,team_runs,team_doubles,team_triples,team_homeRuns,team_strikeOuts,team_baseOnBalls,team_hitByPitch,team_stolenBases,season,game_date,team_DKPts,singles,bats,doubles,triples,homeRuns,rbi,baseOnBalls,hitByPitch,strikeOuts,intentionalWalks,flyOuts,groundOuts,sacFlies,sacBunts,launchSpeed,launchAngle,distance,DKPts_splits,wOBA,AVG,OBP,SLG,OPS,ISO,SB_perAtBat,DKPts_share,hits_share,runs_share,singles_share,doubles_share,triples_share,homeRuns_share,rbi_share,stolenBases_share,baseOnBalls_share,exWOBA,RotoName,opp_pitcher_id,Roster Position,Salary,opp_pitcher_hand
vs_LHP,1,0,1,4,0,0,.---,0,0,4,1,3,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,PHI,9,3,0,15,8,8,9,5,0,2,8,5,0,0,2013,2013-05-27,113,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.25,0.25,0.0,0.25,-0.25,0.0,0.0265486725663716,0.0666666666666666,0.0,0.0,0.0,,0.0,0.0,,0.0,,joseigles,543031,SS,3100.0,R
vs_LHP,1,0,1,3,0,0,.---,0,0,3,1,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,PHI,9,3,,4,4,1,1,0,0,0,9,0,0,1,2013,2013-05-28,21,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,3.0,0.296,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1428571428571428,0.25,0.0,0.25,,,,0.0,0.0,,,joseigles,424324,SS,3100.0,L
vs_LHP,1,0,1,3,0,0,.---,0,0,3,2,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,PHI,-1,5,0,7,3,3,3,2,1,1,8,4,1,0,2013,2013-05-29,59,0.0,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,0.4236666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0847457627118644,0.1428571428571428,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,,joseigles,452718,SS,2600.0,R
vs_LHP,1,0,2,5,0,0,.---,0,0,5,3,2,0,0,-.--,jose iglesias,,Infielder,BOS,away,PHI,8,10,0,14,9,9,9,3,0,2,9,5,2,5,2013,2013-05-30,137,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.1776,0.4,0.4,0.2,0.6000000000000001,-0.2,0.0,0.072992700729927,0.1428571428571428,0.0,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0,,joseigles,543643,SS,2600.0,R
vs_LHP,1,0,2,3,0,0,.---,0,0,3,2,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,NYY,9,6,0,8,4,1,1,4,0,0,12,0,0,0,2013,2013-05-31,36,2.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.0,0.592,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.0,0.1666666666666666,0.25,0.0,0.5,0.0,,,0.0,,,,joseigles,282332,SS,2800.0,L
vs_RHP,1,2,2,5,0,0,.---,0,0,5,2,1,0,0,-.--,jose iglesias,,Infielder,BOS,away,NYY,8,12,,18,11,11,11,4,0,3,12,3,0,0,2013,2013-06-01,133,2.0,R,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,12.0,0.3552,0.4,0.4,0.4,0.8,0.0,0.0,0.0902255639097744,0.1111111111111111,0.1818181818181818,0.1818181818181818,0.0,,0.0,0.0909090909090909,,0.0,,joseigles,461833,SS,2800.0,R
vs_RHP,1,1,1,2,0,0,.---,0,0,2,4,2,0,0,2.00,jose iglesias,SS,Infielder,BOS,away,NYY,8,14,,8,6,3,3,0,0,2,6,0,0,0,2013,2013-06-02,50,0.0,R,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,14.0,1.0505,0.5,0.5,2.0,2.5,1.5,0.0,0.28,0.125,0.3333333333333333,0.0,,,0.5,0.3333333333333333,,,,joseigles,493133,SS,2800.0,R
vs_LHP,1,2,2,5,0,0,.---,0,0,5,3,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,TEX,8,16,,19,6,17,17,8,1,4,6,4,0,0,2013,2013-06-04,182,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,4.0,0.0,0.4,0.4,0.0,0.4,-0.4,0.0,0.0879120879120879,0.1052631578947368,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,,0.0,,joseigles,518748,SS,3100.0,R
vs_LHP,1,0,1,3,0,0,.---,0,0,4,1,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,TEX,8,5,0,5,2,2,2,2,0,1,8,7,0,0,2013,2013-06-05,48,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.296,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1041666666666666,0.2,0.0,0.5,0.0,,0.0,0.0,,0.0,,joseigles,468396,SS,3100.0,R
vs_LHP,1,1,1,1,0,0,.---,0,0,4,1,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,TEX,8,11,0,13,8,6,6,4,0,1,8,6,0,0,2013,2013-06-06,90,1.0,R,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,0.7559999999999999,1.0,1.0,1.0,2.0,0.0,0.0,0.1222222222222222,0.0769230769230769,0.1666666666666666,0.125,0.0,,0.0,0.0,,0.3333333333333333,,joseigles,502706,SS,3400.0,L
